"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"03.01.2024 00:30 - 03.01.2024 01:00","N/A","830"
"03.01.2024 01:00 - 03.01.2024 01:30","N/A","774"
"03.01.2024 01:30 - 03.01.2024 02:00","N/A","723"
"03.01.2024 02:00 - 03.01.2024 02:30","N/A","675"
"03.01.2024 02:30 - 03.01.2024 03:00","N/A","641"
"03.01.2024 03:00 - 03.01.2024 03:30","N/A","628"
"03.01.2024 03:30 - 03.01.2024 04:00","N/A","641"
"03.01.2024 04:00 - 03.01.2024 04:30","N/A","628"
"03.01.2024 04:30 - 03.01.2024 05:00","N/A","623"
"03.01.2024 05:00 - 03.01.2024 05:30","N/A","617"
"03.01.2024 05:30 - 03.01.2024 06:00","N/A","603"
"03.01.2024 06:00 - 03.01.2024 06:30","N/A","602"
"03.01.2024 06:30 - 03.01.2024 07:00","N/A","600"
"03.01.2024 07:00 - 03.01.2024 07:30","N/A","610"
"03.01.2024 07:30 - 03.01.2024 08:00","N/A","627"
"03.01.2024 08:00 - 03.01.2024 08:30","N/A","670"
"03.01.2024 08:30 - 03.01.2024 09:00","N/A","733"
"03.01.2024 09:00 - 03.01.2024 09:30","N/A","807"
"03.01.2024 09:30 - 03.01.2024 10:00","N/A","886"
"03.01.2024 10:00 - 03.01.2024 10:30","N/A","955"
"03.01.2024 10:30 - 03.01.2024 11:00","N/A","1002"
"03.01.2024 11:00 - 03.01.2024 11:30","N/A","1048"
"03.01.2024 11:30 - 03.01.2024 12:00","N/A","1085"
"03.01.2024 12:00 - 03.01.2024 12:30","N/A","1105"
"03.01.2024 12:30 - 03.01.2024 13:00","N/A","1115"
"03.01.2024 13:00 - 03.01.2024 13:30","N/A","1125"
"03.01.2024 13:30 - 03.01.2024 14:00","N/A","1129"
"03.01.2024 14:00 - 03.01.2024 14:30","N/A","1131"
"03.01.2024 14:30 - 03.01.2024 15:00","N/A","1143"
"03.01.2024 15:00 - 03.01.2024 15:30","N/A","1145"
"03.01.2024 15:30 - 03.01.2024 16:00","N/A","1122"
"03.01.2024 16:00 - 03.01.2024 16:30","N/A","1102"
"03.01.2024 16:30 - 03.01.2024 17:00","N/A","1098"
"03.01.2024 17:00 - 03.01.2024 17:30","N/A","1106"
"03.01.2024 17:30 - 03.01.2024 18:00","N/A","1115"
"03.01.2024 18:00 - 03.01.2024 18:30","N/A","1137"
"03.01.2024 18:30 - 03.01.2024 19:00","N/A","1211"
"03.01.2024 19:00 - 03.01.2024 19:30","N/A","1297"
"03.01.2024 19:30 - 03.01.2024 20:00","N/A","1325"
"03.01.2024 20:00 - 03.01.2024 20:30","N/A","1283"
"03.01.2024 20:30 - 03.01.2024 21:00","N/A","1240"
"03.01.2024 21:00 - 03.01.2024 21:30","N/A","1186"
"03.01.2024 21:30 - 03.01.2024 22:00","N/A","1155"
"03.01.2024 22:00 - 03.01.2024 22:30","N/A","1113"
"03.01.2024 22:30 - 03.01.2024 23:00","N/A","1066"
"03.01.2024 23:00 - 03.01.2024 23:30","N/A","1016"
"03.01.2024 23:30 - 04.01.2024 00:00","N/A","960"
"04.01.2024 00:00 - 04.01.2024 00:30","N/A","897"
"04.01.2024 00:30 - 04.01.2024 01:00","N/A","856"
"04.01.2024 01:00 - 04.01.2024 01:30","N/A","788"
"04.01.2024 01:30 - 04.01.2024 02:00","N/A","732"
"04.01.2024 02:00 - 04.01.2024 02:30","N/A","687"
"04.01.2024 02:30 - 04.01.2024 03:00","N/A","652"
"04.01.2024 03:00 - 04.01.2024 03:30","N/A","635"
"04.01.2024 03:30 - 04.01.2024 04:00","N/A","650"
"04.01.2024 04:00 - 04.01.2024 04:30","N/A","642"
"04.01.2024 04:30 - 04.01.2024 05:00","N/A","626"
"04.01.2024 05:00 - 04.01.2024 05:30","N/A","610"
"04.01.2024 05:30 - 04.01.2024 06:00","N/A","602"
"04.01.2024 06:00 - 04.01.2024 06:30","N/A","601"
"04.01.2024 06:30 - 04.01.2024 07:00","N/A","601"
"04.01.2024 07:00 - 04.01.2024 07:30","N/A","601"
"04.01.2024 07:30 - 04.01.2024 08:00","N/A","617"
"04.01.2024 08:00 - 04.01.2024 08:30","N/A","654"
"04.01.2024 08:30 - 04.01.2024 09:00","N/A","732"
"04.01.2024 09:00 - 04.01.2024 09:30","N/A","819"
"04.01.2024 09:30 - 04.01.2024 10:00","N/A","927"
"04.01.2024 10:00 - 04.01.2024 10:30","N/A","1002"
"04.01.2024 10:30 - 04.01.2024 11:00","N/A","1043"
"04.01.2024 11:00 - 04.01.2024 11:30","N/A","1069"
"04.01.2024 11:30 - 04.01.2024 12:00","N/A","1095"
"04.01.2024 12:00 - 04.01.2024 12:30","N/A","1111"
"04.01.2024 12:30 - 04.01.2024 13:00","N/A","1111"
"04.01.2024 13:00 - 04.01.2024 13:30","N/A","1101"
"04.01.2024 13:30 - 04.01.2024 14:00","N/A","1107"
"04.01.2024 14:00 - 04.01.2024 14:30","N/A","1113"
"04.01.2024 14:30 - 04.01.2024 15:00","N/A","1116"
"04.01.2024 15:00 - 04.01.2024 15:30","N/A","1114"
"04.01.2024 15:30 - 04.01.2024 16:00","N/A","1088"
"04.01.2024 16:00 - 04.01.2024 16:30","N/A","1080"
"04.01.2024 16:30 - 04.01.2024 17:00","N/A","1083"
"04.01.2024 17:00 - 04.01.2024 17:30","N/A","1095"
"04.01.2024 17:30 - 04.01.2024 18:00","N/A","1120"
"04.01.2024 18:00 - 04.01.2024 18:30","N/A","1157"
"04.01.2024 18:30 - 04.01.2024 19:00","N/A","1240"
"04.01.2024 19:00 - 04.01.2024 19:30","N/A","1333"
"04.01.2024 19:30 - 04.01.2024 20:00","N/A","1352"
"04.01.2024 20:00 - 04.01.2024 20:30","N/A","1313"
"04.01.2024 20:30 - 04.01.2024 21:00","N/A","1252"
"04.01.2024 21:00 - 04.01.2024 21:30","N/A","1207"
"04.01.2024 21:30 - 04.01.2024 22:00","N/A","1173"
"04.01.2024 22:00 - 04.01.2024 22:30","N/A","1127"
"04.01.2024 22:30 - 04.01.2024 23:00","N/A","1093"
"04.01.2024 23:00 - 04.01.2024 23:30","N/A","1047"
"04.01.2024 23:30 - 05.01.2024 00:00","N/A","986"
"05.01.2024 00:00 - 05.01.2024 00:30","N/A","928"
"05.01.2024 00:30 - 05.01.2024 01:00","N/A","861"
"05.01.2024 01:00 - 05.01.2024 01:30","N/A","802"
"05.01.2024 01:30 - 05.01.2024 02:00","N/A","755"
"05.01.2024 02:00 - 05.01.2024 02:30","N/A","705"
"05.01.2024 02:30 - 05.01.2024 03:00","N/A","671"
"05.01.2024 03:00 - 05.01.2024 03:30","N/A","653"
"05.01.2024 03:30 - 05.01.2024 04:00","N/A","668"
"05.01.2024 04:00 - 05.01.2024 04:30","N/A","650"
"05.01.2024 04:30 - 05.01.2024 05:00","N/A","639"
"05.01.2024 05:00 - 05.01.2024 05:30","N/A","628"
"05.01.2024 05:30 - 05.01.2024 06:00","N/A","620"
"05.01.2024 06:00 - 05.01.2024 06:30","N/A","610"
"05.01.2024 06:30 - 05.01.2024 07:00","N/A","606"
"05.01.2024 07:00 - 05.01.2024 07:30","N/A","619"
"05.01.2024 07:30 - 05.01.2024 08:00","N/A","631"
"05.01.2024 08:00 - 05.01.2024 08:30","N/A","669"
"05.01.2024 08:30 - 05.01.2024 09:00","N/A","741"
"05.01.2024 09:00 - 05.01.2024 09:30","N/A","826"
"05.01.2024 09:30 - 05.01.2024 10:00","N/A","935"
"05.01.2024 10:00 - 05.01.2024 10:30","N/A","1019"
"05.01.2024 10:30 - 05.01.2024 11:00","N/A","1053"
"05.01.2024 11:00 - 05.01.2024 11:30","N/A","1092"
"05.01.2024 11:30 - 05.01.2024 12:00","N/A","1121"
"05.01.2024 12:00 - 05.01.2024 12:30","N/A","1120"
"05.01.2024 12:30 - 05.01.2024 13:00","N/A","1116"
"05.01.2024 13:00 - 05.01.2024 13:30","N/A","1110"
"05.01.2024 13:30 - 05.01.2024 14:00","N/A","1100"
"05.01.2024 14:00 - 05.01.2024 14:30","N/A","1100"
"05.01.2024 14:30 - 05.01.2024 15:00","N/A","1105"
"05.01.2024 15:00 - 05.01.2024 15:30","N/A","1086"
"05.01.2024 15:30 - 05.01.2024 16:00","N/A","1063"
"05.01.2024 16:00 - 05.01.2024 16:30","N/A","1042"
"05.01.2024 16:30 - 05.01.2024 17:00","N/A","1040"
"05.01.2024 17:00 - 05.01.2024 17:30","N/A","1039"
"05.01.2024 17:30 - 05.01.2024 18:00","N/A","1053"
"05.01.2024 18:00 - 05.01.2024 18:30","N/A","1079"
"05.01.2024 18:30 - 05.01.2024 19:00","N/A","1145"
"05.01.2024 19:00 - 05.01.2024 19:30","N/A","1238"
"05.01.2024 19:30 - 05.01.2024 20:00","N/A","1269"
"05.01.2024 20:00 - 05.01.2024 20:30","N/A","1241"
"05.01.2024 20:30 - 05.01.2024 21:00","N/A","1198"
"05.01.2024 21:00 - 05.01.2024 21:30","N/A","1152"
"05.01.2024 21:30 - 05.01.2024 22:00","N/A","1113"
"05.01.2024 22:00 - 05.01.2024 22:30","N/A","1067"
"05.01.2024 22:30 - 05.01.2024 23:00","N/A","1032"
"05.01.2024 23:00 - 05.01.2024 23:30","N/A","994"
"05.01.2024 23:30 - 06.01.2024 00:00","N/A","943"
"06.01.2024 00:00 - 06.01.2024 00:30","N/A","899"
"06.01.2024 00:30 - 06.01.2024 01:00","N/A","852"
"06.01.2024 01:00 - 06.01.2024 01:30","N/A","792"
"06.01.2024 01:30 - 06.01.2024 02:00","N/A","747"
"06.01.2024 02:00 - 06.01.2024 02:30","N/A","696"
