"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - United Kingdom (UK)","Actual Total Load [MW] - United Kingdom (UK)"
"16.04.2024 19:30 - 16.04.2024 20:00","N/A","986"
"16.04.2024 20:00 - 16.04.2024 20:30","N/A","974"
"16.04.2024 20:30 - 16.04.2024 21:00","N/A","970"
"16.04.2024 21:00 - 16.04.2024 21:30","N/A","966"
"16.04.2024 21:30 - 16.04.2024 22:00","N/A","973"
"16.04.2024 22:00 - 16.04.2024 22:30","N/A","995"
"16.04.2024 22:30 - 16.04.2024 23:00","N/A","944"
"16.04.2024 23:00 - 16.04.2024 23:30","N/A","888"
"16.04.2024 23:30 - 17.04.2024 00:00","N/A","819"
"17.04.2024 00:00 - 17.04.2024 00:30","N/A","744"
"17.04.2024 00:30 - 17.04.2024 01:00","N/A","690"
"17.04.2024 01:00 - 17.04.2024 01:30","N/A","629"
"17.04.2024 01:30 - 17.04.2024 02:00","N/A","604"
"17.04.2024 02:00 - 17.04.2024 02:30","N/A","585"
"17.04.2024 02:30 - 17.04.2024 03:00","N/A","586"
"17.04.2024 03:00 - 17.04.2024 03:30","N/A","588"
"17.04.2024 03:30 - 17.04.2024 04:00","N/A","608"
"17.04.2024 04:00 - 17.04.2024 04:30","N/A","609"
"17.04.2024 04:30 - 17.04.2024 05:00","N/A","605"
"17.04.2024 05:00 - 17.04.2024 05:30","N/A","601"
"17.04.2024 05:30 - 17.04.2024 06:00","N/A","604"
"17.04.2024 06:00 - 17.04.2024 06:30","N/A","619"
"17.04.2024 06:30 - 17.04.2024 07:00","N/A","642"
"17.04.2024 07:00 - 17.04.2024 07:30","N/A","685"
"17.04.2024 07:30 - 17.04.2024 08:00","N/A","755"
"17.04.2024 08:00 - 17.04.2024 08:30","N/A","857"
"17.04.2024 08:30 - 17.04.2024 09:00","N/A","970"
"17.04.2024 09:00 - 17.04.2024 09:30","N/A","1040"
"17.04.2024 09:30 - 17.04.2024 10:00","N/A","1079"
"17.04.2024 10:00 - 17.04.2024 10:30","N/A","1094"
"17.04.2024 10:30 - 17.04.2024 11:00","N/A","1109"
"17.04.2024 11:00 - 17.04.2024 11:30","N/A","1109"
"17.04.2024 11:30 - 17.04.2024 12:00","N/A","1118"
"17.04.2024 12:00 - 17.04.2024 12:30","N/A","1132"
"17.04.2024 12:30 - 17.04.2024 13:00","N/A","1137"
"17.04.2024 13:00 - 17.04.2024 13:30","N/A","N/A"
"17.04.2024 13:30 - 17.04.2024 14:00","N/A","N/A"
"17.04.2024 14:00 - 17.04.2024 14:30","N/A","1118"
"17.04.2024 14:30 - 17.04.2024 15:00","N/A","1074"
"17.04.2024 15:00 - 17.04.2024 15:30","N/A","1065"
"17.04.2024 15:30 - 17.04.2024 16:00","N/A","1057"
"17.04.2024 16:00 - 17.04.2024 16:30","N/A","1040"
"17.04.2024 16:30 - 17.04.2024 17:00","N/A","1049"
"17.04.2024 17:00 - 17.04.2024 17:30","N/A","1063"
"17.04.2024 17:30 - 17.04.2024 18:00","N/A","1087"
"17.04.2024 18:00 - 17.04.2024 18:30","N/A","1113"
"17.04.2024 18:30 - 17.04.2024 19:00","N/A","1130"
"17.04.2024 19:00 - 17.04.2024 19:30","N/A","1105"
"17.04.2024 19:30 - 17.04.2024 20:00","N/A","1068"
"17.04.2024 20:00 - 17.04.2024 20:30","N/A","1033"
"17.04.2024 20:30 - 17.04.2024 21:00","N/A","1023"
"17.04.2024 21:00 - 17.04.2024 21:30","N/A","1010"
"17.04.2024 21:30 - 17.04.2024 22:00","N/A","1006"
"17.04.2024 22:00 - 17.04.2024 22:30","N/A","1038"
"17.04.2024 22:30 - 17.04.2024 23:00","N/A","1007"
"17.04.2024 23:00 - 17.04.2024 23:30","N/A","953"
"17.04.2024 23:30 - 18.04.2024 00:00","N/A","881"
"18.04.2024 00:00 - 18.04.2024 00:30","N/A","818"
"18.04.2024 00:30 - 18.04.2024 01:00","N/A","765"
"18.04.2024 01:00 - 18.04.2024 01:30","N/A","719"
"18.04.2024 01:30 - 18.04.2024 02:00","N/A","691"
"18.04.2024 02:00 - 18.04.2024 02:30","N/A","670"
"18.04.2024 02:30 - 18.04.2024 03:00","N/A","660"
"18.04.2024 03:00 - 18.04.2024 03:30","N/A","657"
"18.04.2024 03:30 - 18.04.2024 04:00","N/A","672"
"18.04.2024 04:00 - 18.04.2024 04:30","N/A","664"
"18.04.2024 04:30 - 18.04.2024 05:00","N/A","655"
"18.04.2024 05:00 - 18.04.2024 05:30","N/A","651"
"18.04.2024 05:30 - 18.04.2024 06:00","N/A","649"
"18.04.2024 06:00 - 18.04.2024 06:30","N/A","652"
"18.04.2024 06:30 - 18.04.2024 07:00","N/A","673"
"18.04.2024 07:00 - 18.04.2024 07:30","N/A","709"
"18.04.2024 07:30 - 18.04.2024 08:00","N/A","773"
"18.04.2024 08:00 - 18.04.2024 08:30","N/A","N/A"
"18.04.2024 08:30 - 18.04.2024 09:00","N/A","N/A"
"18.04.2024 09:00 - 18.04.2024 09:30","N/A","1062"
"18.04.2024 09:30 - 18.04.2024 10:00","N/A","1102"
"18.04.2024 10:00 - 18.04.2024 10:30","N/A","1119"
"18.04.2024 10:30 - 18.04.2024 11:00","N/A","1141"
"18.04.2024 11:00 - 18.04.2024 11:30","N/A","1134"
"18.04.2024 11:30 - 18.04.2024 12:00","N/A","1111"
"18.04.2024 12:00 - 18.04.2024 12:30","N/A","N/A"
"18.04.2024 12:30 - 18.04.2024 13:00","N/A","N/A"
"18.04.2024 13:00 - 18.04.2024 13:30","N/A","1107"
"18.04.2024 13:30 - 18.04.2024 14:00","N/A","1108"
"18.04.2024 14:00 - 18.04.2024 14:30","N/A","1076"
"18.04.2024 14:30 - 18.04.2024 15:00","N/A","1022"
"18.04.2024 15:00 - 18.04.2024 15:30","N/A","1001"
"18.04.2024 15:30 - 18.04.2024 16:00","N/A","978"
"18.04.2024 16:00 - 18.04.2024 16:30","N/A","966"
"18.04.2024 16:30 - 18.04.2024 17:00","N/A","990"
"18.04.2024 17:00 - 18.04.2024 17:30","N/A","1018"
"18.04.2024 17:30 - 18.04.2024 18:00","N/A","1050"
"18.04.2024 18:00 - 18.04.2024 18:30","N/A","1080"
"18.04.2024 18:30 - 18.04.2024 19:00","N/A","1078"
"18.04.2024 19:00 - 18.04.2024 19:30","N/A","1061"
"18.04.2024 19:30 - 18.04.2024 20:00","N/A","1033"
"18.04.2024 20:00 - 18.04.2024 20:30","N/A","1003"
"18.04.2024 20:30 - 18.04.2024 21:00","N/A","1001"
"18.04.2024 21:00 - 18.04.2024 21:30","N/A","991"
"18.04.2024 21:30 - 18.04.2024 22:00","N/A","986"
"18.04.2024 22:00 - 18.04.2024 22:30","N/A","987"
"18.04.2024 22:30 - 18.04.2024 23:00","N/A","938"
"18.04.2024 23:00 - 18.04.2024 23:30","N/A","874"
"18.04.2024 23:30 - 19.04.2024 00:00","N/A","797"
"19.04.2024 00:00 - 19.04.2024 00:30","N/A","726"
"19.04.2024 00:30 - 19.04.2024 01:00","N/A","681"
"19.04.2024 01:00 - 19.04.2024 01:30","N/A","630"
"19.04.2024 01:30 - 19.04.2024 02:00","N/A","596"
"19.04.2024 02:00 - 19.04.2024 02:30","N/A","571"
"19.04.2024 02:30 - 19.04.2024 03:00","N/A","558"
"19.04.2024 03:00 - 19.04.2024 03:30","N/A","540"
"19.04.2024 03:30 - 19.04.2024 04:00","N/A","557"
"19.04.2024 04:00 - 19.04.2024 04:30","N/A","551"
"19.04.2024 04:30 - 19.04.2024 05:00","N/A","544"
"19.04.2024 05:00 - 19.04.2024 05:30","N/A","533"
"19.04.2024 05:30 - 19.04.2024 06:00","N/A","538"
"19.04.2024 06:00 - 19.04.2024 06:30","N/A","551"
"19.04.2024 06:30 - 19.04.2024 07:00","N/A","576"
"19.04.2024 07:00 - 19.04.2024 07:30","N/A","626"
"19.04.2024 07:30 - 19.04.2024 08:00","N/A","695"
"19.04.2024 08:00 - 19.04.2024 08:30","N/A","804"
"19.04.2024 08:30 - 19.04.2024 09:00","N/A","926"
"19.04.2024 09:00 - 19.04.2024 09:30","N/A","1004"
"19.04.2024 09:30 - 19.04.2024 10:00","N/A","1034"
"19.04.2024 10:00 - 19.04.2024 10:30","N/A","1053"
"19.04.2024 10:30 - 19.04.2024 11:00","N/A","1058"
"19.04.2024 11:00 - 19.04.2024 11:30","N/A","1056"
"19.04.2024 11:30 - 19.04.2024 12:00","N/A","1038"
"19.04.2024 12:00 - 19.04.2024 12:30","N/A","1028"
"19.04.2024 12:30 - 19.04.2024 13:00","N/A","1014"
"19.04.2024 13:00 - 19.04.2024 13:30","N/A","1006"
"19.04.2024 13:30 - 19.04.2024 14:00","N/A","985"
"19.04.2024 14:00 - 19.04.2024 14:30","N/A","959"
"19.04.2024 14:30 - 19.04.2024 15:00","N/A","909"
"19.04.2024 15:00 - 19.04.2024 15:30","N/A","883"
"19.04.2024 15:30 - 19.04.2024 16:00","N/A","862"
"19.04.2024 16:00 - 19.04.2024 16:30","N/A","844"
"19.04.2024 16:30 - 19.04.2024 17:00","N/A","830"
"19.04.2024 17:00 - 19.04.2024 17:30","N/A","831"
"19.04.2024 17:30 - 19.04.2024 18:00","N/A","861"
"19.04.2024 18:00 - 19.04.2024 18:30","N/A","892"
"19.04.2024 18:30 - 19.04.2024 19:00","N/A","924"
"19.04.2024 19:00 - 19.04.2024 19:30","N/A","928"
"19.04.2024 19:30 - 19.04.2024 20:00","N/A","920"
"19.04.2024 20:00 - 19.04.2024 20:30","N/A","908"
"19.04.2024 20:30 - 19.04.2024 21:00","N/A","917"
"19.04.2024 21:00 - 19.04.2024 21:30","N/A","915"
"19.04.2024 21:30 - 19.04.2024 22:00","N/A","919"
"19.04.2024 22:00 - 19.04.2024 22:30","N/A","949"
"19.04.2024 22:30 - 19.04.2024 23:00","N/A","924"
"19.04.2024 23:00 - 19.04.2024 23:30","N/A","880"
"19.04.2024 23:30 - 20.04.2024 00:00","N/A","830"
"20.04.2024 00:00 - 20.04.2024 00:30","N/A","777"
"20.04.2024 00:30 - 20.04.2024 01:00","N/A","728"
"20.04.2024 01:00 - 20.04.2024 01:30","N/A","682"
"20.04.2024 01:30 - 20.04.2024 02:00","N/A","650"
"20.04.2024 02:00 - 20.04.2024 02:30","N/A","630"
"20.04.2024 02:30 - 20.04.2024 03:00","N/A","619"
"20.04.2024 03:00 - 20.04.2024 03:30","N/A","608"
"20.04.2024 03:30 - 20.04.2024 04:00","N/A","630"
"20.04.2024 04:00 - 20.04.2024 04:30","N/A","618"
"20.04.2024 04:30 - 20.04.2024 05:00","N/A","611"
"20.04.2024 05:00 - 20.04.2024 05:30","N/A","606"
"20.04.2024 05:30 - 20.04.2024 06:00","N/A","602"
"20.04.2024 06:00 - 20.04.2024 06:30","N/A","607"
"20.04.2024 06:30 - 20.04.2024 07:00","N/A","617"
"20.04.2024 07:00 - 20.04.2024 07:30","N/A","631"
"20.04.2024 07:30 - 20.04.2024 08:00","N/A","657"
"20.04.2024 08:00 - 20.04.2024 08:30","N/A","701"
"20.04.2024 08:30 - 20.04.2024 09:00","N/A","755"
"20.04.2024 09:00 - 20.04.2024 09:30","N/A","801"
"20.04.2024 09:30 - 20.04.2024 10:00","N/A","858"
"20.04.2024 10:00 - 20.04.2024 10:30","N/A","887"
"20.04.2024 10:30 - 20.04.2024 11:00","N/A","890"
"20.04.2024 11:00 - 20.04.2024 11:30","N/A","886"
"20.04.2024 11:30 - 20.04.2024 12:00","N/A","881"
"20.04.2024 12:00 - 20.04.2024 12:30","N/A","874"
"20.04.2024 12:30 - 20.04.2024 13:00","N/A","868"
"20.04.2024 13:00 - 20.04.2024 13:30","N/A","852"
"20.04.2024 13:30 - 20.04.2024 14:00","N/A","841"
"20.04.2024 14:00 - 20.04.2024 14:30","N/A","821"
"20.04.2024 14:30 - 20.04.2024 15:00","N/A","801"
"20.04.2024 15:00 - 20.04.2024 15:30","N/A","773"
"20.04.2024 15:30 - 20.04.2024 16:00","N/A","751"
"20.04.2024 16:00 - 20.04.2024 16:30","N/A","748"
"20.04.2024 16:30 - 20.04.2024 17:00","N/A","743"
"20.04.2024 17:00 - 20.04.2024 17:30","N/A","764"
"20.04.2024 17:30 - 20.04.2024 18:00","N/A","793"
"20.04.2024 18:00 - 20.04.2024 18:30","N/A","832"
"20.04.2024 18:30 - 20.04.2024 19:00","N/A","866"
"20.04.2024 19:00 - 20.04.2024 19:30","N/A","N/A"
"20.04.2024 19:30 - 20.04.2024 20:00","N/A","N/A"
"20.04.2024 20:00 - 20.04.2024 20:30","N/A","870"
"20.04.2024 20:30 - 20.04.2024 21:00","N/A","866"
"20.04.2024 21:00 - 20.04.2024 21:30","N/A","852"
"20.04.2024 21:30 - 20.04.2024 22:00","N/A","850"
"20.04.2024 22:00 - 20.04.2024 22:30","N/A","869"
"20.04.2024 22:30 - 20.04.2024 23:00","N/A","859"
"20.04.2024 23:00 - 20.04.2024 23:30","N/A","818"
"20.04.2024 23:30 - 21.04.2024 00:00","N/A","778"
"21.04.2024 00:00 - 21.04.2024 00:30","N/A","736"
"21.04.2024 00:30 - 21.04.2024 01:00","N/A","693"
"21.04.2024 01:00 - 21.04.2024 01:30","N/A","656"
"21.04.2024 01:30 - 21.04.2024 02:00","N/A","628"
"21.04.2024 02:00 - 21.04.2024 02:30","N/A","607"
"21.04.2024 02:30 - 21.04.2024 03:00","N/A","594"
"21.04.2024 03:00 - 21.04.2024 03:30","N/A","585"
"21.04.2024 03:30 - 21.04.2024 04:00","N/A","602"
"21.04.2024 04:00 - 21.04.2024 04:30","N/A","590"
"21.04.2024 04:30 - 21.04.2024 05:00","N/A","579"
"21.04.2024 05:00 - 21.04.2024 05:30","N/A","574"
"21.04.2024 05:30 - 21.04.2024 06:00","N/A","569"
"21.04.2024 06:00 - 21.04.2024 06:30","N/A","571"
"21.04.2024 06:30 - 21.04.2024 07:00","N/A","578"
"21.04.2024 07:00 - 21.04.2024 07:30","N/A","581"
"21.04.2024 07:30 - 21.04.2024 08:00","N/A","594"
"21.04.2024 08:00 - 21.04.2024 08:30","N/A","622"
"21.04.2024 08:30 - 21.04.2024 09:00","N/A","656"
"21.04.2024 09:00 - 21.04.2024 09:30","N/A","690"
"21.04.2024 09:30 - 21.04.2024 10:00","N/A","739"
"21.04.2024 10:00 - 21.04.2024 10:30","N/A","775"
"21.04.2024 10:30 - 21.04.2024 11:00","N/A","811"
"21.04.2024 11:00 - 21.04.2024 11:30","N/A","829"
"21.04.2024 11:30 - 21.04.2024 12:00","N/A","828"
"21.04.2024 12:00 - 21.04.2024 12:30","N/A","829"
"21.04.2024 12:30 - 21.04.2024 13:00","N/A","834"
"21.04.2024 13:00 - 21.04.2024 13:30","N/A","838"
"21.04.2024 13:30 - 21.04.2024 14:00","N/A","845"
"21.04.2024 14:00 - 21.04.2024 14:30","N/A","833"
"21.04.2024 14:30 - 21.04.2024 15:00","N/A","808"
"21.04.2024 15:00 - 21.04.2024 15:30","N/A","779"
"21.04.2024 15:30 - 21.04.2024 16:00","N/A","756"
"21.04.2024 16:00 - 21.04.2024 16:30","N/A","752"
"21.04.2024 16:30 - 21.04.2024 17:00","N/A","747"
"21.04.2024 17:00 - 21.04.2024 17:30","N/A","761"
"21.04.2024 17:30 - 21.04.2024 18:00","N/A","794"
"21.04.2024 18:00 - 21.04.2024 18:30","N/A","829"
"21.04.2024 18:30 - 21.04.2024 19:00","N/A","863"
"21.04.2024 19:00 - 21.04.2024 19:30","N/A","871"
"21.04.2024 19:30 - 21.04.2024 20:00","N/A","865"
"21.04.2024 20:00 - 21.04.2024 20:30","N/A","875"
"21.04.2024 20:30 - 21.04.2024 21:00","N/A","881"
"21.04.2024 21:00 - 21.04.2024 21:30","N/A","877"
"21.04.2024 21:30 - 21.04.2024 22:00","N/A","880"
"21.04.2024 22:00 - 21.04.2024 22:30","N/A","891"
"21.04.2024 22:30 - 21.04.2024 23:00","N/A","879"
"21.04.2024 23:00 - 21.04.2024 23:30","N/A","827"
"21.04.2024 23:30 - 22.04.2024 00:00","N/A","778"
"22.04.2024 00:00 - 22.04.2024 00:30","N/A","723"
"22.04.2024 00:30 - 22.04.2024 01:00","N/A","673"
"22.04.2024 01:00 - 22.04.2024 01:30","742","632"
"22.04.2024 01:30 - 22.04.2024 02:00","702","604"
"22.04.2024 02:00 - 22.04.2024 02:30","656","583"
"22.04.2024 02:30 - 22.04.2024 03:00","608","575"
"22.04.2024 03:00 - 22.04.2024 03:30","570","572"
"22.04.2024 03:30 - 22.04.2024 04:00","570","592"
"22.04.2024 04:00 - 22.04.2024 04:30","580","581"
"22.04.2024 04:30 - 22.04.2024 05:00","573","576"
"22.04.2024 05:00 - 22.04.2024 05:30","571","568"
"22.04.2024 05:30 - 22.04.2024 06:00","561","569"
"22.04.2024 06:00 - 22.04.2024 06:30","560","572"
"22.04.2024 06:30 - 22.04.2024 07:00","563","598"
"22.04.2024 07:00 - 22.04.2024 07:30","568","635"
"22.04.2024 07:30 - 22.04.2024 08:00","575","700"
"22.04.2024 08:00 - 22.04.2024 08:30","596","792"
"22.04.2024 08:30 - 22.04.2024 09:00","645","901"
"22.04.2024 09:00 - 22.04.2024 09:30","730","976"
"22.04.2024 09:30 - 22.04.2024 10:00","830","1014"
"22.04.2024 10:00 - 22.04.2024 10:30","937","1019"
"22.04.2024 10:30 - 22.04.2024 11:00","1022","1035"
"22.04.2024 11:00 - 22.04.2024 11:30","1053","1021"
"22.04.2024 11:30 - 22.04.2024 12:00","1085","1019"
"22.04.2024 12:00 - 22.04.2024 12:30","1099","1014"
"22.04.2024 12:30 - 22.04.2024 13:00","1098","1009"
"22.04.2024 13:00 - 22.04.2024 13:30","1093","1012"
"22.04.2024 13:30 - 22.04.2024 14:00","1081","998"
"22.04.2024 14:00 - 22.04.2024 14:30","1065","987"
"22.04.2024 14:30 - 22.04.2024 15:00","1048","942"
"22.04.2024 15:00 - 22.04.2024 15:30","1055","935"
"22.04.2024 15:30 - 22.04.2024 16:00","1053","935"
"22.04.2024 16:00 - 22.04.2024 16:30","1028","925"
"22.04.2024 16:30 - 22.04.2024 17:00","1035","932"
"22.04.2024 17:00 - 22.04.2024 17:30","1026","955"
"22.04.2024 17:30 - 22.04.2024 18:00","1018","985"
"22.04.2024 18:00 - 22.04.2024 18:30","1044","1014"
"22.04.2024 18:30 - 22.04.2024 19:00","1087","1043"
"22.04.2024 19:00 - 22.04.2024 19:30","1152","1016"
"22.04.2024 19:30 - 22.04.2024 20:00","1256","982"
"22.04.2024 20:00 - 22.04.2024 20:30","1291","960"
"22.04.2024 20:30 - 22.04.2024 21:00","1248","944"
"22.04.2024 21:00 - 22.04.2024 21:30","1194","936"
"22.04.2024 21:30 - 22.04.2024 22:00","1150","930"
"22.04.2024 22:00 - 22.04.2024 22:30","1116","940"
"22.04.2024 22:30 - 22.04.2024 23:00","1077","913"
"22.04.2024 23:00 - 22.04.2024 23:30","1043","869"
"22.04.2024 23:30 - 23.04.2024 00:00","995","792"
"23.04.2024 00:00 - 23.04.2024 00:30","944","737"
"23.04.2024 00:30 - 23.04.2024 01:00","883","688"
"23.04.2024 01:00 - 23.04.2024 01:30","N/A","635"
"23.04.2024 01:30 - 23.04.2024 02:00","N/A","611"
"23.04.2024 02:00 - 23.04.2024 02:30","N/A","595"
"23.04.2024 02:30 - 23.04.2024 03:00","N/A","588"
"23.04.2024 03:00 - 23.04.2024 03:30","N/A","583"
"23.04.2024 03:30 - 23.04.2024 04:00","N/A","592"
"23.04.2024 04:00 - 23.04.2024 04:30","N/A","589"
"23.04.2024 04:30 - 23.04.2024 05:00","N/A","585"
"23.04.2024 05:00 - 23.04.2024 05:30","N/A","581"
"23.04.2024 05:30 - 23.04.2024 06:00","N/A","592"
"23.04.2024 06:00 - 23.04.2024 06:30","N/A","602"
"23.04.2024 06:30 - 23.04.2024 07:00","N/A","619"
"23.04.2024 07:00 - 23.04.2024 07:30","N/A","657"
"23.04.2024 07:30 - 23.04.2024 08:00","N/A","723"
"23.04.2024 08:00 - 23.04.2024 08:30","N/A","821"
"23.04.2024 08:30 - 23.04.2024 09:00","N/A","920"
"23.04.2024 09:00 - 23.04.2024 09:30","N/A","989"
"23.04.2024 09:30 - 23.04.2024 10:00","N/A","1018"
"23.04.2024 10:00 - 23.04.2024 10:30","N/A","1025"
"23.04.2024 10:30 - 23.04.2024 11:00","N/A","1035"
"23.04.2024 11:00 - 23.04.2024 11:30","N/A","1023"
"23.04.2024 11:30 - 23.04.2024 12:00","N/A","1011"
"23.04.2024 12:00 - 23.04.2024 12:30","N/A","1003"
"23.04.2024 12:30 - 23.04.2024 13:00","N/A","983"
"23.04.2024 13:00 - 23.04.2024 13:30","N/A","962"
"23.04.2024 13:30 - 23.04.2024 14:00","N/A","956"
"23.04.2024 14:00 - 23.04.2024 14:30","N/A","937"
"23.04.2024 14:30 - 23.04.2024 15:00","N/A","889"
"23.04.2024 15:00 - 23.04.2024 15:30","N/A","871"
"23.04.2024 15:30 - 23.04.2024 16:00","N/A","870"
"23.04.2024 16:00 - 23.04.2024 16:30","N/A","860"
"23.04.2024 16:30 - 23.04.2024 17:00","N/A","860"
"23.04.2024 17:00 - 23.04.2024 17:30","N/A","862"
"23.04.2024 17:30 - 23.04.2024 18:00","N/A","905"
"23.04.2024 18:00 - 23.04.2024 18:30","N/A","944"
"23.04.2024 18:30 - 23.04.2024 19:00","N/A","969"
"23.04.2024 19:00 - 23.04.2024 19:30","N/A","958"
"23.04.2024 19:30 - 23.04.2024 20:00","N/A","940"
"23.04.2024 20:00 - 23.04.2024 20:30","N/A","923"
"23.04.2024 20:30 - 23.04.2024 21:00","N/A","920"
"23.04.2024 21:00 - 23.04.2024 21:30","N/A","926"
"23.04.2024 21:30 - 23.04.2024 22:00","N/A","924"
"23.04.2024 22:00 - 23.04.2024 22:30","N/A","938"
"23.04.2024 22:30 - 23.04.2024 23:00","N/A","926"
"23.04.2024 23:00 - 23.04.2024 23:30","N/A","874"
"23.04.2024 23:30 - 24.04.2024 00:00","N/A","814"
"24.04.2024 00:00 - 24.04.2024 00:30","N/A","749"
"24.04.2024 00:30 - 24.04.2024 01:00","N/A","696"
"24.04.2024 01:00 - 24.04.2024 01:30","N/A","649"
"24.04.2024 01:30 - 24.04.2024 02:00","N/A","622"
"24.04.2024 02:00 - 24.04.2024 02:30","N/A","614"
"24.04.2024 02:30 - 24.04.2024 03:00","N/A","602"
"24.04.2024 03:00 - 24.04.2024 03:30","N/A","598"
"24.04.2024 03:30 - 24.04.2024 04:00","N/A","615"
"24.04.2024 04:00 - 24.04.2024 04:30","N/A","610"
"24.04.2024 04:30 - 24.04.2024 05:00","N/A","602"
"24.04.2024 05:00 - 24.04.2024 05:30","N/A","598"
"24.04.2024 05:30 - 24.04.2024 06:00","N/A","603"
"24.04.2024 06:00 - 24.04.2024 06:30","N/A","609"
"24.04.2024 06:30 - 24.04.2024 07:00","N/A","633"
"24.04.2024 07:00 - 24.04.2024 07:30","N/A","669"
"24.04.2024 07:30 - 24.04.2024 08:00","N/A","741"
"24.04.2024 08:00 - 24.04.2024 08:30","N/A","833"
"24.04.2024 08:30 - 24.04.2024 09:00","N/A","943"
"24.04.2024 09:00 - 24.04.2024 09:30","N/A","1013"
"24.04.2024 09:30 - 24.04.2024 10:00","N/A","1049"
"24.04.2024 10:00 - 24.04.2024 10:30","N/A","1057"
"24.04.2024 10:30 - 24.04.2024 11:00","N/A","1065"
"24.04.2024 11:00 - 24.04.2024 11:30","N/A","1062"
"24.04.2024 11:30 - 24.04.2024 12:00","N/A","1055"
"24.04.2024 12:00 - 24.04.2024 12:30","N/A","1049"
"24.04.2024 12:30 - 24.04.2024 13:00","N/A","1052"
"24.04.2024 13:00 - 24.04.2024 13:30","N/A","1045"
"24.04.2024 13:30 - 24.04.2024 14:00","N/A","1039"
"24.04.2024 14:00 - 24.04.2024 14:30","N/A","1019"
"24.04.2024 14:30 - 24.04.2024 15:00","N/A","977"
"24.04.2024 15:00 - 24.04.2024 15:30","N/A","948"
"24.04.2024 15:30 - 24.04.2024 16:00","N/A","943"
"24.04.2024 16:00 - 24.04.2024 16:30","N/A","937"
"24.04.2024 16:30 - 24.04.2024 17:00","N/A","941"
"24.04.2024 17:00 - 24.04.2024 17:30","N/A","950"
"24.04.2024 17:30 - 24.04.2024 18:00","N/A","985"
"24.04.2024 18:00 - 24.04.2024 18:30","N/A","1009"
"24.04.2024 18:30 - 24.04.2024 19:00","N/A","1031"
"24.04.2024 19:00 - 24.04.2024 19:30","N/A","1011"
"24.04.2024 19:30 - 24.04.2024 20:00","N/A","981"
"24.04.2024 20:00 - 24.04.2024 20:30","N/A","967"
"24.04.2024 20:30 - 24.04.2024 21:00","N/A","966"
"24.04.2024 21:00 - 24.04.2024 21:30","N/A","955"
"24.04.2024 21:30 - 24.04.2024 22:00","N/A","958"
"24.04.2024 22:00 - 24.04.2024 22:30","N/A","978"
"24.04.2024 22:30 - 24.04.2024 23:00","N/A","965"
"24.04.2024 23:00 - 24.04.2024 23:30","N/A","916"
"24.04.2024 23:30 - 25.04.2024 00:00","N/A","855"
"25.04.2024 00:00 - 25.04.2024 00:30","N/A","789"
"25.04.2024 00:30 - 25.04.2024 01:00","N/A","736"
"25.04.2024 01:00 - 25.04.2024 01:30","N/A","689"
"25.04.2024 01:30 - 25.04.2024 02:00","N/A","656"
"25.04.2024 02:00 - 25.04.2024 02:30","N/A","633"
"25.04.2024 02:30 - 25.04.2024 03:00","N/A","618"
"25.04.2024 03:00 - 25.04.2024 03:30","N/A","611"
"25.04.2024 03:30 - 25.04.2024 04:00","N/A","630"
"25.04.2024 04:00 - 25.04.2024 04:30","N/A","622"
"25.04.2024 04:30 - 25.04.2024 05:00","N/A","613"
"25.04.2024 05:00 - 25.04.2024 05:30","N/A","611"
"25.04.2024 05:30 - 25.04.2024 06:00","N/A","609"
"25.04.2024 06:00 - 25.04.2024 06:30","N/A","618"
"25.04.2024 06:30 - 25.04.2024 07:00","N/A","636"
"25.04.2024 07:00 - 25.04.2024 07:30","N/A","668"
"25.04.2024 07:30 - 25.04.2024 08:00","N/A","750"
"25.04.2024 08:00 - 25.04.2024 08:30","N/A","839"
"25.04.2024 08:30 - 25.04.2024 09:00","N/A","950"
"25.04.2024 09:00 - 25.04.2024 09:30","N/A","1017"
"25.04.2024 09:30 - 25.04.2024 10:00","N/A","1049"
"25.04.2024 10:00 - 25.04.2024 10:30","N/A","1064"
"25.04.2024 10:30 - 25.04.2024 11:00","N/A","1080"
"25.04.2024 11:00 - 25.04.2024 11:30","N/A","1065"
"25.04.2024 11:30 - 25.04.2024 12:00","N/A","1059"
"25.04.2024 12:00 - 25.04.2024 12:30","N/A","1054"
"25.04.2024 12:30 - 25.04.2024 13:00","N/A","1047"
"25.04.2024 13:00 - 25.04.2024 13:30","N/A","1034"
"25.04.2024 13:30 - 25.04.2024 14:00","N/A","1024"
"25.04.2024 14:00 - 25.04.2024 14:30","N/A","1017"
"25.04.2024 14:30 - 25.04.2024 15:00","N/A","983"
"25.04.2024 15:00 - 25.04.2024 15:30","N/A","969"
"25.04.2024 15:30 - 25.04.2024 16:00","N/A","961"
"25.04.2024 16:00 - 25.04.2024 16:30","N/A","950"
"25.04.2024 16:30 - 25.04.2024 17:00","N/A","963"
"25.04.2024 17:00 - 25.04.2024 17:30","N/A","987"
"25.04.2024 17:30 - 25.04.2024 18:00","N/A","1017"
"25.04.2024 18:00 - 25.04.2024 18:30","N/A","1042"
"25.04.2024 18:30 - 25.04.2024 19:00","N/A","1063"
"25.04.2024 19:00 - 25.04.2024 19:30","N/A","1036"
"25.04.2024 19:30 - 25.04.2024 20:00","N/A","1012"
